#YY,MM,DD,hh,mm,ss,T,HEIGHT
2011,3,13,0,0,0,1,5263.787
2011,3,12,23,45,0,1,5263.807
2011,3,12,23,30,0,1,5263.839
2011,3,12,23,15,0,1,5263.884
2011,3,12,23,0,0,1,5263.896
2011,3,12,22,45,0,1,5263.943
2011,3,12,22,30,0,1,5263.946
2011,3,12,22,15,0,1,5263.968
2011,3,12,22,0,0,1,5263.994
2011,3,12,21,45,0,1,5263.997
2011,3,12,21,30,0,1,5264.005
2011,3,12,21,15,0,1,5264.009
2011,3,12,21,0,0,1,5264.017
2011,3,12,20,45,0,1,5264.027
2011,3,12,20,30,0,1,5263.993
2011,3,12,20,15,0,1,5264.009
2011,3,12,20,0,0,1,5264
2011,3,12,19,45,0,1,5263.983
2011,3,12,19,30,0,1,5263.97
2011,3,12,19,15,0,1,5263.957
2011,3,12,19,0,0,1,5263.937
2011,3,12,18,45,0,1,5263.91
2011,3,12,18,30,0,1,5263.906
2011,3,12,18,15,0,1,5263.874
2011,3,12,18,0,0,1,5263.847
2011,3,12,17,45,0,1,5263.852
2011,3,12,17,30,0,1,5263.812
2011,3,12,17,15,0,1,5263.798
2011,3,12,17,0,0,1,5263.791
2011,3,12,16,45,0,1,5263.756
2011,3,12,16,30,0,1,5263.766
2011,3,12,16,15,0,1,5263.743
2011,3,12,16,0,0,1,5263.758
2011,3,12,15,45,0,1,5263.728
2011,3,12,15,30,0,1,5263.723
2011,3,12,15,15,0,1,5263.709
2011,3,12,15,0,0,1,9999
2011,3,12,14,59,0,2,5263.677
2011,3,12,14,58,0,2,5263.678
2011,3,12,14,57,0,2,5263.676
2011,3,12,14,56,0,2,5263.676
2011,3,12,14,55,0,2,5263.678
2011,3,12,14,54,0,2,5263.683
2011,3,12,14,53,0,2,5263.683
2011,3,12,14,52,0,2,5263.682
2011,3,12,14,51,0,2,5263.681
2011,3,12,14,50,0,2,5263.681
2011,3,12,14,49,0,2,5263.684
2011,3,12,14,48,0,2,5263.683
2011,3,12,14,47,0,2,5263.683
2011,3,12,14,46,0,2,5263.685
2011,3,12,14,45,0,2,5263.689
2011,3,12,14,45,0,1,9999
2011,3,12,14,44,0,2,5263.685
2011,3,12,14,43,0,2,5263.686
2011,3,12,14,42,0,2,5263.686
2011,3,12,14,41,0,2,5263.686
2011,3,12,14,40,0,2,5263.688
2011,3,12,14,39,0,2,5263.688
2011,3,12,14,38,0,2,5263.685
2011,3,12,14,37,0,2,5263.684
2011,3,12,14,36,0,2,5263.682
2011,3,12,14,35,0,2,5263.678
2011,3,12,14,34,0,2,5263.678
2011,3,12,14,33,0,2,5263.681
2011,3,12,14,32,0,2,5263.679
2011,3,12,14,31,0,2,5263.67
2011,3,12,14,30,0,2,5263.665
2011,3,12,14,30,0,1,9999
2011,3,12,14,29,0,2,5263.672
2011,3,12,14,28,0,2,5263.672
2011,3,12,14,27,0,2,5263.67
2011,3,12,14,26,0,2,5263.674
2011,3,12,14,25,0,2,5263.675
2011,3,12,14,24,0,2,5263.674
2011,3,12,14,23,0,2,5263.677
2011,3,12,14,22,0,2,5263.678
2011,3,12,14,21,0,2,5263.67
2011,3,12,14,20,0,2,5263.666
2011,3,12,14,19,0,2,5263.671
2011,3,12,14,18,0,2,5263.672
2011,3,12,14,17,0,2,5263.675
2011,3,12,14,16,0,2,5263.683
2011,3,12,14,15,0,2,5263.682
2011,3,12,14,15,0,1,9999
2011,3,12,14,14,0,2,5263.682
2011,3,12,14,13,0,2,5263.681
2011,3,12,14,12,0,2,5263.677
2011,3,12,14,11,0,2,5263.676
2011,3,12,14,10,0,2,5263.681
2011,3,12,14,9,0,2,5263.685
2011,3,12,14,8,0,2,5263.677
2011,3,12,14,7,0,2,5263.677
2011,3,12,14,6,0,2,5263.684
2011,3,12,14,5,0,2,5263.682
2011,3,12,14,4,0,2,5263.681
2011,3,12,14,3,0,2,5263.684
2011,3,12,14,2,0,2,5263.691
2011,3,12,14,1,0,2,5263.692
2011,3,12,14,0,0,2,5263.696
2011,3,12,14,0,0,1,9999
2011,3,12,13,59,0,2,5263.697
2011,3,12,13,58,0,2,5263.695
2011,3,12,13,57,0,2,5263.691
2011,3,12,13,56,0,2,5263.687
2011,3,12,13,55,0,2,5263.682
2011,3,12,13,54,0,2,5263.679
2011,3,12,13,53,0,2,5263.681
2011,3,12,13,52,0,2,5263.678
2011,3,12,13,51,0,2,5263.68
2011,3,12,13,50,0,2,5263.686
2011,3,12,13,49,0,2,5263.68
2011,3,12,13,48,0,2,5263.676
2011,3,12,13,47,0,2,5263.677
2011,3,12,13,46,0,2,5263.678
2011,3,12,13,45,0,2,5263.68
2011,3,12,13,45,0,1,9999
2011,3,12,13,44,0,2,5263.679
2011,3,12,13,43,0,2,5263.67
2011,3,12,13,42,0,2,5263.667
2011,3,12,13,41,0,2,5263.671
2011,3,12,13,40,0,2,5263.677
2011,3,12,13,39,0,2,5263.674
2011,3,12,13,38,0,2,5263.676
2011,3,12,13,37,0,2,5263.679
2011,3,12,13,36,0,2,5263.68
2011,3,12,13,35,0,2,5263.683
2011,3,12,13,34,0,2,5263.678
2011,3,12,13,33,0,2,5263.678
2011,3,12,13,32,0,2,5263.673
2011,3,12,13,31,0,2,5263.67
2011,3,12,13,30,0,2,5263.666
2011,3,12,13,30,0,1,9999
2011,3,12,13,29,0,2,5263.671
2011,3,12,13,28,0,2,5263.678
2011,3,12,13,27,0,2,5263.683
2011,3,12,13,26,0,2,5263.688
2011,3,12,13,25,0,2,5263.682
2011,3,12,13,24,0,2,5263.679
2011,3,12,13,23,0,2,5263.681
2011,3,12,13,22,0,2,5263.681
2011,3,12,13,21,0,2,5263.684
2011,3,12,13,20,0,2,5263.69
2011,3,12,13,19,0,2,5263.693
2011,3,12,13,18,0,2,5263.69
2011,3,12,13,17,0,2,5263.69
2011,3,12,13,16,0,2,5263.687
2011,3,12,13,15,0,2,5263.688
2011,3,12,13,15,0,1,9999
2011,3,12,13,14,0,2,5263.69
2011,3,12,13,13,0,2,5263.692
2011,3,12,13,12,0,2,5263.685
2011,3,12,13,11,0,2,5263.679
2011,3,12,13,10,0,2,5263.674
2011,3,12,13,9,0,2,5263.673
2011,3,12,13,8,0,2,5263.678
