#YY,MM,DD,hh,mm,ss,T,HEIGHT
2011,03,13,0,0,0,1,4449.852
2011,03,12,23,45,0,1,4449.899
2011,03,12,23,30,0,1,4449.904
2011,03,12,23,15,0,1,4449.942
2011,03,12,23,0,0,1,4450.005
2011,03,12,22,45,0,1,4450.046
2011,03,12,22,30,0,1,4450.091
2011,03,12,22,15,0,1,4450.159
2011,03,12,22,0,0,1,4450.222
2011,03,12,21,45,0,1,4450.264
2011,03,12,21,30,0,1,4450.353
2011,03,12,21,15,0,1,4450.425
2011,03,12,21,0,0,1,4450.455
2011,03,12,20,45,0,1,4450.48
2011,03,12,20,30,0,1,4450.559
2011,03,12,20,15,0,1,4450.627
2011,03,12,20,0,0,1,4450.67
2011,03,12,19,45,0,1,4450.691
2011,03,12,19,30,0,1,4450.718
2011,03,12,19,15,0,1,4450.761
2011,03,12,19,0,0,1,4450.768
2011,03,12,18,57,54,2,4450.773
2011,03,12,18,56,54,2,4450.776
2011,03,12,18,55,54,2,4450.778
2011,03,12,18,54,54,2,4450.784
2011,03,12,18,53,54,2,4450.786
2011,03,12,18,52,54,2,4450.795
2011,03,12,18,51,54,2,4450.814
2011,03,12,18,50,54,2,4450.818
2011,03,12,18,49,54,2,4450.811
2011,03,12,18,48,54,2,4450.797
2011,03,12,18,47,54,2,4450.792
2011,03,12,18,46,54,2,4450.784
2011,03,12,18,45,54,2,4450.771
2011,03,12,18,45,0,1,9999
2011,03,12,18,44,54,2,4450.768
2011,03,12,18,43,54,2,4450.77
2011,03,12,18,42,54,2,4450.769
2011,03,12,18,41,54,2,4450.767
2011,03,12,18,40,54,2,4450.763
2011,03,12,18,39,54,2,4450.761
2011,03,12,18,38,54,2,4450.762
2011,03,12,18,37,54,2,4450.756
2011,03,12,18,36,54,2,4450.757
2011,03,12,18,35,54,2,4450.747
2011,03,12,18,34,54,2,4450.741
2011,03,12,18,33,54,2,4450.746
2011,03,12,18,32,54,2,4450.739
2011,03,12,18,31,54,2,4450.742
2011,03,12,18,30,54,2,4450.756
2011,03,12,18,30,0,1,9999
2011,03,12,18,29,54,2,4450.756
2011,03,12,18,28,54,2,4450.756
2011,03,12,18,27,54,2,4450.754
2011,03,12,18,26,54,2,4450.761
2011,03,12,18,25,54,2,4450.774
2011,03,12,18,24,54,2,4450.781
2011,03,12,18,23,54,2,4450.778
2011,03,12,18,22,54,2,4450.777
2011,03,12,18,21,54,2,4450.773
2011,03,12,18,20,54,2,4450.772
2011,03,12,18,19,54,2,4450.779
2011,03,12,18,18,54,2,4450.777
2011,03,12,18,17,54,2,4450.784
2011,03,12,18,16,54,2,4450.791
2011,03,12,18,15,54,2,4450.789
2011,03,12,18,15,0,1,9999
2011,03,12,18,14,54,2,4450.78
2011,03,12,18,13,54,2,4450.77
2011,03,12,18,12,54,2,4450.768
2011,03,12,18,11,54,2,4450.76
2011,03,12,18,10,54,2,4450.757
2011,03,12,18,9,54,2,4450.755
2011,03,12,18,8,54,2,4450.74
2011,03,12,18,7,54,2,4450.747
2011,03,12,18,6,54,2,4450.752
2011,03,12,18,5,54,2,4450.747
2011,03,12,18,4,54,2,4450.749
2011,03,12,18,3,54,2,4450.746
2011,03,12,18,2,54,2,4450.739
2011,03,12,18,1,54,2,4450.736
2011,03,12,18,0,54,2,4450.732
2011,03,12,18,0,0,1,9999
2011,03,12,17,59,54,2,4450.733
2011,03,12,17,58,54,2,4450.73
2011,03,12,17,57,54,2,4450.733
2011,03,12,17,56,54,2,4450.734
2011,03,12,17,55,54,2,4450.726
2011,03,12,17,54,54,2,4450.718
2011,03,12,17,53,54,2,4450.715
2011,03,12,17,52,54,2,4450.714
2011,03,12,17,51,54,2,4450.717
2011,03,12,17,50,54,2,4450.717
2011,03,12,17,49,54,2,4450.716
2011,03,12,17,48,54,2,4450.719
2011,03,12,17,47,54,2,4450.722
2011,03,12,17,46,54,2,4450.71
2011,03,12,17,45,54,2,4450.699
2011,03,12,17,45,0,1,9999
2011,03,12,17,44,54,2,4450.702
2011,03,12,17,43,54,2,4450.704
2011,03,12,17,42,54,2,4450.699
2011,03,12,17,41,54,2,4450.698
2011,03,12,17,40,54,2,4450.686
2011,03,12,17,39,54,2,4450.686
2011,03,12,17,38,54,2,4450.684
2011,03,12,17,37,54,2,4450.688
2011,03,12,17,36,54,2,4450.696
2011,03,12,17,35,54,2,4450.693
2011,03,12,17,34,54,2,4450.692
2011,03,12,17,33,54,2,4450.689
2011,03,12,17,32,54,2,4450.685
2011,03,12,17,31,54,2,4450.681
2011,03,12,17,30,54,2,4450.675
2011,03,12,17,30,0,1,9999
2011,03,12,17,29,54,2,4450.67
2011,03,12,17,28,54,2,4450.655
2011,03,12,17,27,54,2,4450.655
2011,03,12,17,26,54,2,4450.651
2011,03,12,17,25,54,2,4450.647
2011,03,12,17,24,54,2,4450.655
2011,03,12,17,23,54,2,4450.659
